url,canonical_contract,indexable_contract,status_contract,primary_cta,source,source_sha,gsc_clicks,gsc_impressions,ctr,avg_position
/,/,yes,200,Check AI visibility or discuss an AI system,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru,/ru,yes,200,Проверить AI-видимость или обсудить AI-систему,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/visibility,/visibility,yes,200,Run Public Readiness or compare plans,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/visibility,/ru/visibility,yes,200,Запустить Public Readiness или сравнить тарифы,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/check,/check,yes,200,Run Public Readiness,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/check,/ru/check,yes,200,Запустить Public Readiness,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/pricing,/pricing,yes,200,Choose a Visibility plan or discuss services,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/pricing,/ru/pricing,yes,200,Выбрать тариф или обсудить услугу,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/methodology,/methodology,yes,200,Run Public Readiness,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ru/methodology,/ru/methodology,yes,200,Запустить Public Readiness,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ai-systems,/ai-systems,yes,200,Discuss an AI system,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ai-systems/ai-audit,/ai-systems/ai-audit,yes,200,Discuss an AI Audit,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ai-systems/ai-sprint,/ai-systems/ai-sprint,yes,200,Discuss an AI Sprint,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ai-systems/business-os,/ai-systems/business-os,yes,200,Discuss Business OS,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ai-training,/ai-training,yes,200,Discuss AI Systems,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ai-automation,/ai-automation,yes,200,Discuss AI Systems,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
/ai-content,/ai-content,yes,200,Discuss AI Systems,repository route contract; not fresh HTTP measurement,3964b4deaf7f1260c4e97b9b6e183e894143be0f,NO_DATA,NO_DATA,NO_DATA,NO_DATA
